Begin to read solar wind speed, IMF, AE and Dst
F16, 2012-095, 43661
F16, 2012-095, 43662
F16, 2012-095, 43663
F16, 2012-095, 43665
F16, 2012-095, 43666
F16, 2012-096, 43667
F16, 2012-096, 43670
F16, 2012-096, 43671
F16, 2012-096, 43673
F16, 2012-096, 43679
F16, 2012-096, 43680
F16, 2012-097, 43681
F16, 2012-097, 43682
F16, 2012-097, 43683
F16, 2012-097, 43685
F16, 2012-097, 43688
F16, 2012-097, 43689
F16, 2012-097, 43693
F16, 2012-097, 43694
F16, 2012-098, 43695
F16, 2012-098, 43702
F16, 2012-098, 43703
F16, 2012-098, 43704
F16, 2012-098, 43705
F16, 2012-098, 43707
F16, 2012-099, 43711
F16, 2012-099, 43713
F16, 2012-099, 43714
F16, 2012-099, 43716
F16, 2012-099, 43717
F16, 2012-099, 43718
F16, 2012-099, 43719
F16, 2012-099, 43721
F16, 2012-099, 43722
F16, 2012-100, 43724
F16, 2012-100, 43725
F16, 2012-100, 43727
F16, 2012-100, 43728
F16, 2012-100, 43730
F16, 2012-100, 43731
F16, 2012-100, 43732
F16, 2012-100, 43733
F16, 2012-100, 43735
F16, 2012-100, 43736
F16, 2012-101, 43738
F16, 2012-101, 43739
F16, 2012-101, 43741
F16, 2012-101, 43742
F16, 2012-101, 43744
F16, 2012-101, 43745
F16, 2012-101, 43746
F16, 2012-101, 43747
F16, 2012-101, 43749
F16, 2012-101, 43750
F16, 2012-102, 43752
F16, 2012-102, 43753
F16, 2012-102, 43755
F16, 2012-102, 43756
F16, 2012-102, 43760
F16, 2012-102, 43763
F16, 2012-102, 43764
F16, 2012-102, 43765
F16, 2012-103, 43766
F16, 2012-103, 43767
F16, 2012-103, 43771
F16, 2012-103, 43772
F16, 2012-103, 43773
F16, 2012-103, 43774
F16, 2012-103, 43775
F16, 2012-103, 43776
F16, 2012-103, 43777
F16, 2012-103, 43778
F16, 2012-103, 43779
F16, 2012-104, 43780
F16, 2012-104, 43781
F16, 2012-104, 43783
F16, 2012-104, 43784
F16, 2012-104, 43785
F16, 2012-104, 43786
F16, 2012-104, 43787
F16, 2012-104, 43788
F16, 2012-104, 43789
F16, 2012-104, 43790
F16, 2012-104, 43792
F16, 2012-104, 43793
F16, 2012-105, 43794
F16, 2012-105, 43795
F16, 2012-105, 43796
F16, 2012-105, 43798
F16, 2012-105, 43799
F16, 2012-105, 43800
F16, 2012-105, 43801
F16, 2012-105, 43802
F16, 2012-105, 43803
F16, 2012-105, 43804
F16, 2012-105, 43806
F16, 2012-105, 43807
F16, 2012-106, 43813
F16, 2012-106, 43815
F16, 2012-106, 43816
F16, 2012-106, 43817
F16, 2012-106, 43820
F16, 2012-106, 43821
F16, 2012-107, 43823
F16, 2012-107, 43824
F16, 2012-107, 43826
F16, 2012-107, 43827
F16, 2012-107, 43829
F16, 2012-107, 43830
F16, 2012-107, 43831
F16, 2012-107, 43832
F16, 2012-108, 43836
F16, 2012-108, 43837
F16, 2012-108, 43838
F16, 2012-108, 43840
F16, 2012-108, 43841
F16, 2012-108, 43843
F16, 2012-108, 43844
F16, 2012-108, 43845
F16, 2012-108, 43846
F16, 2012-108, 43848
F16, 2012-108, 43849
F16, 2012-109, 43852
F16, 2012-109, 43854
F16, 2012-109, 43855
F16, 2012-109, 43857
F16, 2012-109, 43858
F16, 2012-109, 43859
F16, 2012-109, 43860
F16, 2012-109, 43862
F16, 2012-110, 43868
F16, 2012-110, 43869
F16, 2012-110, 43870
F16, 2012-110, 43871
F16, 2012-110, 43872
F16, 2012-110, 43873
F16, 2012-110, 43874
F16, 2012-110, 43876
F16, 2012-110, 43877
F16, 2012-111, 43880
F16, 2012-111, 43882
F16, 2012-111, 43883
F16, 2012-111, 43884
F16, 2012-111, 43885
F16, 2012-111, 43886
F16, 2012-111, 43887
F16, 2012-111, 43888
F16, 2012-111, 43889
F16, 2012-111, 43890
F16, 2012-111, 43891
F16, 2012-111, 43892
F16, 2012-112, 43894
F16, 2012-112, 43896
F16, 2012-112, 43897
F16, 2012-112, 43898
F16, 2012-112, 43901
F16, 2012-112, 43902
F16, 2012-112, 43903
F16, 2012-112, 43905
F16, 2012-113, 43907
F16, 2012-113, 43908
F16, 2012-113, 43910
F16, 2012-113, 43911
F16, 2012-113, 43912
F16, 2012-113, 43913
F16, 2012-113, 43914
F16, 2012-113, 43915
F16, 2012-113, 43916
F16, 2012-113, 43917
F16, 2012-113, 43919
F16, 2012-113, 43920
F16, 2012-114, 43922
F16, 2012-114, 43925
F16, 2012-114, 43926
F16, 2012-114, 43928
F16, 2012-114, 43929
F16, 2012-114, 43930
F16, 2012-114, 43931
F16, 2012-114, 43933
F16, 2012-114, 43934
F16, 2012-115, 43936
F16, 2012-115, 43938
F16, 2012-115, 43939
F16, 2012-115, 43944
F16, 2012-115, 43945
F16, 2012-115, 43946
F16, 2012-115, 43948
F16, 2012-116, 43950
F16, 2012-116, 43952
F16, 2012-116, 43953
F16, 2012-116, 43954
F16, 2012-116, 43955
F16, 2012-116, 43956
F16, 2012-116, 43957
F16, 2012-116, 43958
F16, 2012-116, 43959
F16, 2012-116, 43960
F16, 2012-116, 43961
F16, 2012-116, 43962
F16, 2012-117, 43964
F16, 2012-117, 43965
F16, 2012-117, 43966
F16, 2012-117, 43967
F16, 2012-117, 43968
F16, 2012-117, 43969
F16, 2012-117, 43970
F16, 2012-117, 43971
F16, 2012-117, 43973
F16, 2012-117, 43974
F16, 2012-117, 43975
F16, 2012-117, 43976
F16, 2012-118, 43979
F16, 2012-118, 43980
F16, 2012-118, 43989
F16, 2012-118, 43990
F16, 2012-118, 43991
F16, 2012-119, 43992
F16, 2012-119, 43993
F16, 2012-119, 43995
F16, 2012-119, 43996
F16, 2012-119, 43997
F16, 2012-119, 43999
F16, 2012-119, 44000
F16, 2012-119, 44001
F16, 2012-119, 44002
F16, 2012-119, 44003
F16, 2012-119, 44004
F16, 2012-119, 44005
F16, 2012-120, 44007
F16, 2012-120, 44009
F16, 2012-120, 44011
F16, 2012-120, 44013
F16, 2012-120, 44014
F16, 2012-120, 44015
F16, 2012-120, 44016
F16, 2012-120, 44017
F16, 2012-120, 44018
F16, 2012-120, 44019
F16, 2012-121, 44024
F16, 2012-121, 44025
F16, 2012-121, 44026
F16, 2012-121, 44027
F16, 2012-121, 44028
F16, 2012-121, 44029
F16, 2012-121, 44030
F16, 2012-121, 44032
F16, 2012-121, 44033
F16, 2012-122, 44035
F16, 2012-122, 44037
F16, 2012-122, 44039
F16, 2012-122, 44041
F16, 2012-122, 44042
F16, 2012-122, 44043
F16, 2012-122, 44044
F16, 2012-122, 44046
F16, 2012-122, 44047
F16, 2012-123, 44049
F16, 2012-123, 44051
F16, 2012-123, 44052
F16, 2012-123, 44053
F16, 2012-123, 44055
F16, 2012-123, 44057
F16, 2012-123, 44058
F16, 2012-123, 44059
F16, 2012-123, 44060
F16, 2012-123, 44061
F16, 2012-124, 44065
F16, 2012-124, 44066
F16, 2012-124, 44067
F16, 2012-124, 44069
F16, 2012-124, 44070
F16, 2012-124, 44075
F16, 2012-125, 44077
F16, 2012-125, 44078
F16, 2012-125, 44079
F16, 2012-125, 44080
F16, 2012-125, 44081
F16, 2012-125, 44083
F16, 2012-125, 44084
F16, 2012-125, 44085
F16, 2012-125, 44086
F16, 2012-125, 44090
F16, 2012-126, 44091
F16, 2012-126, 44092
F16, 2012-126, 44093
F16, 2012-126, 44094
F16, 2012-126, 44095
F16, 2012-126, 44097
F16, 2012-126, 44098
F16, 2012-126, 44099
F16, 2012-126, 44100
F16, 2012-126, 44102
F16, 2012-126, 44103
F16, 2012-126, 44104
F16, 2012-127, 44107
F16, 2012-127, 44108
F16, 2012-127, 44109
F16, 2012-127, 44110
F16, 2012-127, 44112
F16, 2012-127, 44113
F16, 2012-127, 44114
F16, 2012-127, 44115
F16, 2012-127, 44116
F16, 2012-127, 44117
F16, 2012-127, 44118
F16, 2012-128, 44119
F16, 2012-128, 44121
F16, 2012-128, 44122
F16, 2012-128, 44123
F16, 2012-128, 44124
F16, 2012-128, 44125
F16, 2012-128, 44126
F16, 2012-128, 44127
F16, 2012-128, 44131
F16, 2012-128, 44132
F16, 2012-129, 44133
F16, 2012-129, 44135
F16, 2012-129, 44136
F16, 2012-129, 44137
F16, 2012-129, 44138
F16, 2012-129, 44139
F16, 2012-129, 44140
F16, 2012-129, 44145
F16, 2012-129, 44146
F16, 2012-130, 44148
F16, 2012-130, 44149
F16, 2012-130, 44151
F16, 2012-130, 44152
F16, 2012-130, 44153
F16, 2012-130, 44154
F16, 2012-130, 44155
F16, 2012-130, 44156
F16, 2012-130, 44157
F16, 2012-130, 44159
F16, 2012-130, 44160
F16, 2012-131, 44161
F16, 2012-131, 44162
F16, 2012-131, 44163
F16, 2012-131, 44165
F16, 2012-131, 44166
F16, 2012-131, 44168
F16, 2012-131, 44169
F16, 2012-131, 44170
F16, 2012-131, 44171
F16, 2012-131, 44173
F16, 2012-131, 44174
F16, 2012-132, 44176
F16, 2012-132, 44177
F16, 2012-132, 44179
F16, 2012-132, 44180
F16, 2012-132, 44183
F16, 2012-132, 44184
F16, 2012-132, 44185
F16, 2012-132, 44187
F16, 2012-132, 44188
F16, 2012-133, 44197
F16, 2012-133, 44190
F16, 2012-133, 44191
F16, 2012-133, 44193
F16, 2012-133, 44194
F16, 2012-133, 44196
F16, 2012-133, 44198
F16, 2012-133, 44199
F16, 2012-133, 44201
F16, 2012-133, 44202
F16, 2012-133, 44203
F16, 2012-134, 44205
F16, 2012-134, 44207
F16, 2012-134, 44208
F16, 2012-134, 44210
F16, 2012-134, 44211
F16, 2012-134, 44212
F16, 2012-134, 44213
F16, 2012-134, 44215
F16, 2012-134, 44216
F16, 2012-134, 44217
F16, 2012-135, 44218
F16, 2012-135, 44220
F16, 2012-135, 44221
F16, 2012-135, 44222
F16, 2012-135, 44223
F16, 2012-135, 44224
F16, 2012-135, 44225
F16, 2012-135, 44226
F16, 2012-135, 44227
F16, 2012-135, 44230
F16, 2012-135, 44231
F16, 2012-136, 44234
F16, 2012-136, 44235
F16, 2012-136, 44236
F16, 2012-136, 44237
F16, 2012-136, 44238
F16, 2012-136, 44239
F16, 2012-136, 44240
F16, 2012-136, 44244
F16, 2012-136, 44245
F16, 2012-137, 44248
F16, 2012-137, 44250
F16, 2012-137, 44251
F16, 2012-137, 44252
F16, 2012-137, 44253
F16, 2012-137, 44254
F16, 2012-137, 44255
F16, 2012-137, 44256
F16, 2012-137, 44258
F16, 2012-137, 44259
F16, 2012-138, 44261
F16, 2012-138, 44262
F16, 2012-138, 44263
F16, 2012-138, 44264
F16, 2012-138, 44265
F16, 2012-138, 44267
F16, 2012-138, 44268
F16, 2012-138, 44270
F16, 2012-138, 44272
F16, 2012-138, 44273
F16, 2012-139, 44275
F16, 2012-139, 44276
F16, 2012-139, 44277
F16, 2012-139, 44278
F16, 2012-139, 44279
F16, 2012-139, 44281
F16, 2012-139, 44282
F16, 2012-139, 44283
F16, 2012-139, 44284
F16, 2012-139, 44285
F16, 2012-139, 44287
F16, 2012-140, 44289
F16, 2012-140, 44291
F16, 2012-140, 44292
F16, 2012-140, 44293
F16, 2012-140, 44297
F16, 2012-140, 44298
F16, 2012-140, 44299
F16, 2012-140, 44300
F16, 2012-140, 44301
F16, 2012-141, 44310
F16, 2012-141, 44303
F16, 2012-141, 44304
F16, 2012-141, 44305
F16, 2012-141, 44306
F16, 2012-141, 44307
F16, 2012-141, 44309
F16, 2012-141, 44311
F16, 2012-141, 44312
F16, 2012-141, 44313
F16, 2012-141, 44315
F16, 2012-141, 44316
F16, 2012-142, 44317
F16, 2012-142, 44318
F16, 2012-142, 44320
F16, 2012-142, 44321
F16, 2012-142, 44323
F16, 2012-142, 44324
F16, 2012-142, 44325
F16, 2012-142, 44326
F16, 2012-143, 44331
F16, 2012-143, 44332
F16, 2012-143, 44336
F16, 2012-143, 44338
F16, 2012-143, 44339
F16, 2012-143, 44340
F16, 2012-143, 44341
F16, 2012-143, 44342
F16, 2012-143, 44343
F16, 2012-143, 44344
F16, 2012-144, 44346
F16, 2012-144, 44347
F16, 2012-144, 44349
F16, 2012-144, 44350
F16, 2012-144, 44351
F16, 2012-144, 44352
F16, 2012-144, 44353
F16, 2012-144, 44354
F16, 2012-144, 44357
F16, 2012-144, 44358
F16, 2012-145, 44359
F16, 2012-145, 44360
F16, 2012-145, 44361
F16, 2012-145, 44363
F16, 2012-145, 44365
F16, 2012-145, 44366
F16, 2012-145, 44367
F16, 2012-145, 44368
F16, 2012-145, 44369
F16, 2012-145, 44371
F16, 2012-145, 44372
F16, 2012-146, 44374
F16, 2012-146, 44375
F16, 2012-146, 44377
F16, 2012-146, 44378
F16, 2012-146, 44380
F16, 2012-146, 44381
F16, 2012-146, 44382
F16, 2012-146, 44383
F16, 2012-146, 44385
F16, 2012-146, 44386
F16, 2012-147, 44388
F16, 2012-147, 44389
F16, 2012-147, 44391
F16, 2012-147, 44392
F16, 2012-147, 44394
F16, 2012-147, 44395
F16, 2012-147, 44396
F16, 2012-147, 44399
F16, 2012-147, 44400
F16, 2012-148, 44402
F16, 2012-148, 44403
F16, 2012-148, 44405
F16, 2012-148, 44406
F16, 2012-148, 44410
F16, 2012-148, 44413
F16, 2012-148, 44414
F16, 2012-149, 44423
F16, 2012-149, 44416
F16, 2012-149, 44417
F16, 2012-149, 44418
F16, 2012-149, 44420
F16, 2012-149, 44422
F16, 2012-149, 44424
F16, 2012-149, 44425
F16, 2012-149, 44427
F16, 2012-149, 44428
F16, 2012-149, 44429
F16, 2012-150, 44430
F16, 2012-150, 44431
F16, 2012-150, 44432
F16, 2012-150, 44434
F16, 2012-150, 44436
F16, 2012-150, 44437
F16, 2012-150, 44441
F16, 2012-150, 44442
F16, 2012-150, 44443
F16, 2012-151, 44444
F16, 2012-151, 44445
F16, 2012-151, 44446
F16, 2012-151, 44448
F16, 2012-151, 44449
F16, 2012-151, 44450
F16, 2012-151, 44451
F16, 2012-151, 44452
F16, 2012-151, 44453
F16, 2012-151, 44454
F16, 2012-151, 44455
F16, 2012-151, 44456
F16, 2012-152, 44459
F16, 2012-152, 44460
F16, 2012-152, 44462
F16, 2012-152, 44463
F16, 2012-152, 44464
F16, 2012-152, 44465
F16, 2012-152, 44466
F16, 2012-152, 44467
F16, 2012-152, 44468
F16, 2012-152, 44469
F16, 2012-152, 44470
F16, 2012-152, 44471
F16, 2012-153, 44472
F16, 2012-153, 44473
F16, 2012-153, 44474
F16, 2012-153, 44475
F16, 2012-153, 44476
F16, 2012-153, 44477
F16, 2012-153, 44479
F16, 2012-153, 44480
F16, 2012-153, 44482
F16, 2012-153, 44484
F16, 2012-153, 44485
F16, 2012-154, 44491
F16, 2012-154, 44493
F16, 2012-154, 44494
F16, 2012-154, 44495
F16, 2012-154, 44496
F16, 2012-154, 44498
F16, 2012-154, 44499
F16, 2012-155, 44501
F16, 2012-155, 44502
F16, 2012-155, 44503
F16, 2012-155, 44504
F16, 2012-155, 44505
F16, 2012-155, 44509
F16, 2012-155, 44510
F16, 2012-155, 44512
F16, 2012-155, 44513
F16, 2012-156, 44516
F16, 2012-156, 44517
F16, 2012-156, 44518
F16, 2012-156, 44519
F16, 2012-156, 44521
F16, 2012-156, 44522
F16, 2012-156, 44523
F16, 2012-156, 44524
F16, 2012-156, 44525
F16, 2012-156, 44526
F16, 2012-156, 44527
F16, 2012-157, 44536
F16, 2012-157, 44529
F16, 2012-157, 44530
F16, 2012-157, 44531
F16, 2012-157, 44532
F16, 2012-157, 44533
F16, 2012-157, 44535
F16, 2012-157, 44537
F16, 2012-157, 44538
F16, 2012-157, 44540
F16, 2012-157, 44541
F16, 2012-157, 44542
F16, 2012-158, 44543
F16, 2012-158, 44544
F16, 2012-158, 44545
F16, 2012-158, 44547
F16, 2012-158, 44549
F16, 2012-158, 44550
F16, 2012-158, 44551
F16, 2012-158, 44552
F16, 2012-158, 44553
F16, 2012-158, 44554
F16, 2012-158, 44555
F16, 2012-158, 44556
F16, 2012-159, 44557
F16, 2012-159, 44558
F16, 2012-159, 44559
F16, 2012-159, 44561
F16, 2012-159, 44563
F16, 2012-159, 44564
F16, 2012-159, 44565
F16, 2012-159, 44568
F16, 2012-159, 44569
F16, 2012-159, 44570
F16, 2012-160, 44571
F16, 2012-160, 44572
F16, 2012-160, 44573
F16, 2012-160, 44574
F16, 2012-160, 44575
F16, 2012-160, 44577
F16, 2012-160, 44578
F16, 2012-160, 44579
F16, 2012-160, 44580
F16, 2012-160, 44581
F16, 2012-160, 44582
F16, 2012-160, 44583
F16, 2012-160, 44584
F16, 2012-161, 44585
F16, 2012-161, 44586
F16, 2012-161, 44587
F16, 2012-161, 44589
F16, 2012-161, 44591
F16, 2012-161, 44592
F16, 2012-161, 44593
F16, 2012-161, 44594
F16, 2012-161, 44595
F16, 2012-161, 44596
F16, 2012-161, 44597
F16, 2012-162, 44600
F16, 2012-162, 44601
F16, 2012-162, 44603
F16, 2012-162, 44604
F16, 2012-162, 44606
F16, 2012-162, 44607
F16, 2012-162, 44608
F16, 2012-162, 44609
F16, 2012-162, 44610
F16, 2012-162, 44611
F16, 2012-162, 44612
F16, 2012-163, 44614
F16, 2012-163, 44615
F16, 2012-163, 44616
F16, 2012-163, 44617
F16, 2012-163, 44618
F16, 2012-163, 44620
F16, 2012-163, 44621
F16, 2012-163, 44622
F16, 2012-163, 44625
F16, 2012-163, 44626
F16, 2012-164, 44627
F16, 2012-164, 44628
F16, 2012-164, 44629
F16, 2012-164, 44630
F16, 2012-164, 44631
F16, 2012-164, 44632
F16, 2012-164, 44634
F16, 2012-164, 44637
F16, 2012-164, 44638
F16, 2012-164, 44639
F16, 2012-164, 44640
F16, 2012-165, 44649
F16, 2012-165, 44642
F16, 2012-165, 44643
F16, 2012-165, 44646
F16, 2012-165, 44648
F16, 2012-165, 44650
F16, 2012-165, 44651
F16, 2012-165, 44653
F16, 2012-165, 44654
F16, 2012-165, 44655
F16, 2012-166, 44656
F16, 2012-166, 44657
F16, 2012-166, 44658
F16, 2012-166, 44659
F16, 2012-166, 44660
F16, 2012-166, 44662
F16, 2012-166, 44663
F16, 2012-166, 44664
F16, 2012-166, 44665
F16, 2012-166, 44666
F16, 2012-166, 44667
F16, 2012-166, 44668
F16, 2012-166, 44669
F16, 2012-167, 44670
F16, 2012-167, 44671
F16, 2012-167, 44672
F16, 2012-167, 44674
F16, 2012-167, 44676
F16, 2012-167, 44677
F16, 2012-167, 44678
F16, 2012-167, 44679
F16, 2012-167, 44680
F16, 2012-167, 44681
F16, 2012-167, 44682
F16, 2012-167, 44683
F16, 2012-168, 44685
F16, 2012-168, 44686
F16, 2012-168, 44687
F16, 2012-168, 44688
F16, 2012-168, 44690
F16, 2012-168, 44691
F16, 2012-168, 44692
F16, 2012-168, 44693
F16, 2012-168, 44694
F16, 2012-168, 44695
F16, 2012-168, 44696
F16, 2012-168, 44697
F16, 2012-169, 44698
F16, 2012-169, 44699
F16, 2012-169, 44702
F16, 2012-169, 44705
F16, 2012-169, 44706
F16, 2012-169, 44707
F16, 2012-169, 44708
F16, 2012-169, 44709
F16, 2012-169, 44710
F16, 2012-169, 44711
F16, 2012-170, 44712
F16, 2012-170, 44713
F16, 2012-170, 44714
F16, 2012-170, 44716
F16, 2012-170, 44719
F16, 2012-170, 44720
F16, 2012-170, 44721
F16, 2012-170, 44722
F16, 2012-171, 44727
F16, 2012-171, 44728
F16, 2012-171, 44729
F16, 2012-171, 44730
F16, 2012-171, 44731
F16, 2012-171, 44733
F16, 2012-171, 44734
F16, 2012-171, 44735
F16, 2012-171, 44736
F16, 2012-171, 44737
F16, 2012-171, 44738
F16, 2012-171, 44739
F16, 2012-172, 44741
F16, 2012-172, 44742
F16, 2012-172, 44743
F16, 2012-172, 44744
F16, 2012-172, 44745
F16, 2012-172, 44747
F16, 2012-172, 44748
F16, 2012-172, 44749
F16, 2012-172, 44750
F16, 2012-172, 44751
F16, 2012-172, 44752
F16, 2012-172, 44753
F16, 2012-173, 44762
F16, 2012-173, 44755
F16, 2012-173, 44756
F16, 2012-173, 44757
F16, 2012-173, 44758
F16, 2012-173, 44759
F16, 2012-173, 44761
F16, 2012-173, 44763
F16, 2012-173, 44764
F16, 2012-173, 44765
F16, 2012-173, 44766
F16, 2012-173, 44767
F16, 2012-173, 44768
F16, 2012-174, 44769
F16, 2012-174, 44770
F16, 2012-174, 44771
F16, 2012-174, 44772
F16, 2012-174, 44773
F16, 2012-174, 44775
F16, 2012-174, 44776
F16, 2012-174, 44777
F16, 2012-174, 44778
F16, 2012-174, 44780
F16, 2012-174, 44781
F16, 2012-175, 44783
F16, 2012-175, 44784
F16, 2012-175, 44787
F16, 2012-175, 44789
F16, 2012-175, 44790
F16, 2012-175, 44791
F16, 2012-175, 44792
F16, 2012-175, 44793
F16, 2012-175, 44794
F16, 2012-175, 44795
F16, 2012-175, 44796
F16, 2012-176, 44798
F16, 2012-176, 44799
F16, 2012-176, 44801
F16, 2012-176, 44803
F16, 2012-176, 44804
F16, 2012-176, 44805
F16, 2012-176, 44806
F16, 2012-176, 44807
F16, 2012-176, 44808
F16, 2012-176, 44809
F16, 2012-176, 44810
F16, 2012-177, 44812
F16, 2012-177, 44813
F16, 2012-177, 44814
F16, 2012-177, 44815
F16, 2012-177, 44816
F16, 2012-177, 44817
F16, 2012-177, 44818
F16, 2012-177, 44819
F16, 2012-177, 44820
F16, 2012-177, 44821
F16, 2012-177, 44822
F16, 2012-177, 44824
F16, 2012-178, 44825
F16, 2012-178, 44826
F16, 2012-178, 44827
F16, 2012-178, 44828
F16, 2012-178, 44829
F16, 2012-178, 44835
F16, 2012-178, 44838
F16, 2012-179, 44841
F16, 2012-179, 44842
F16, 2012-179, 44843
F16, 2012-179, 44844
F16, 2012-179, 44848
F16, 2012-179, 44849
F16, 2012-179, 44850
F16, 2012-179, 44851
F16, 2012-179, 44852
F16, 2012-180, 44853
F16, 2012-180, 44854
F16, 2012-180, 44855
F16, 2012-180, 44856
F16, 2012-180, 44857
F16, 2012-180, 44860
F16, 2012-180, 44862
F16, 2012-180, 44865
F16, 2012-180, 44866
F16, 2012-181, 44869
F16, 2012-181, 44870
F16, 2012-181, 44871
F16, 2012-181, 44873
F16, 2012-181, 44874
F16, 2012-181, 44875
F16, 2012-181, 44876
F16, 2012-181, 44877
F16, 2012-181, 44878
F16, 2012-181, 44879
F16, 2012-181, 44880
F16, 2012-182, 44883
F16, 2012-182, 44884
F16, 2012-182, 44885
F16, 2012-182, 44886
F16, 2012-182, 44888
F16, 2012-182, 44889
F16, 2012-182, 44890
F16, 2012-182, 44891
F16, 2012-182, 44892
F16, 2012-182, 44893
F16, 2012-182, 44894
F16, 2012-182, 44895
F16, 2012-183, 44897
F16, 2012-183, 44898
F16, 2012-183, 44900
F16, 2012-183, 44902
F16, 2012-183, 44903
F16, 2012-183, 44904
F16, 2012-183, 44905
F16, 2012-183, 44906
F16, 2012-183, 44907
F16, 2012-183, 44908
F16, 2012-183, 44909
F16, 2012-184, 44910
F16, 2012-184, 44911
F16, 2012-184, 44912
F16, 2012-184, 44913
F16, 2012-184, 44914
F16, 2012-184, 44917
F16, 2012-184, 44919
F16, 2012-184, 44920
F16, 2012-184, 44922
F16, 2012-184, 44923
F16, 2012-185, 44924
F16, 2012-185, 44925
F16, 2012-185, 44926
F16, 2012-185, 44928
F16, 2012-185, 44930
F16, 2012-185, 44932
F16, 2012-185, 44934
F16, 2012-185, 44936
F16, 2012-185, 44937
F16, 2012-186, 44938
F16, 2012-186, 44941
F16, 2012-186, 44942
F16, 2012-186, 44944
F16, 2012-186, 44945
F16, 2012-186, 44946
F16, 2012-186, 44947
F16, 2012-186, 44949
F16, 2012-186, 44950
F16, 2012-186, 44951
F16, 2012-187, 44953
F16, 2012-187, 44954
F16, 2012-187, 44955
F16, 2012-187, 44956
F16, 2012-187, 44958
F16, 2012-187, 44959
F16, 2012-187, 44960
F16, 2012-187, 44961
F16, 2012-187, 44962
F16, 2012-187, 44964
F16, 2012-187, 44965
F16, 2012-188, 44966
F16, 2012-188, 44967
F16, 2012-188, 44968
F16, 2012-188, 44969
F16, 2012-188, 44970
F16, 2012-188, 44971
F16, 2012-188, 44975
F16, 2012-188, 44978
F16, 2012-188, 44979
F16, 2012-189, 44981
F16, 2012-189, 44982
F16, 2012-189, 44987
F16, 2012-189, 44988
F16, 2012-189, 44989
F16, 2012-189, 44992
F16, 2012-189, 44993
F16, 2012-189, 44994
F16, 2012-190, 44996
F16, 2012-190, 44997
F16, 2012-190, 44998
F16, 2012-190, 45002
F16, 2012-190, 45003
F16, 2012-190, 45004
F16, 2012-190, 45005
F16, 2012-190, 45006
F16, 2012-190, 45007
F16, 2012-190, 45008
F16, 2012-191, 45009
F16, 2012-191, 45010
F16, 2012-191, 45011
F16, 2012-191, 45013
F16, 2012-191, 45014
F16, 2012-191, 45016
F16, 2012-191, 45017
F16, 2012-191, 45018
F16, 2012-191, 45019
F16, 2012-191, 45020
F16, 2012-191, 45021
F16, 2012-191, 45022
F16, 2012-192, 45023
F16, 2012-192, 45024
F16, 2012-192, 45025
F16, 2012-192, 45026
F16, 2012-192, 45027
F16, 2012-192, 45029
F16, 2012-192, 45030
F16, 2012-192, 45031
F16, 2012-192, 45032
F16, 2012-192, 45033
F16, 2012-192, 45034
F16, 2012-192, 45035
F16, 2012-193, 45037
F16, 2012-193, 45038
F16, 2012-193, 45039
F16, 2012-193, 45040
F16, 2012-193, 45041
F16, 2012-193, 45043
F16, 2012-193, 45044
F16, 2012-193, 45045
F16, 2012-193, 45046
F16, 2012-193, 45047
F16, 2012-193, 45048
F16, 2012-193, 45049
F16, 2012-193, 45050
F16, 2012-194, 45052
F16, 2012-194, 45053
F16, 2012-194, 45054
F16, 2012-194, 45055
F16, 2012-194, 45056
F16, 2012-194, 45058
F16, 2012-194, 45059
F16, 2012-194, 45060
F16, 2012-194, 45061
F16, 2012-194, 45062
F16, 2012-194, 45063
F16, 2012-194, 45064
F16, 2012-195, 45066
F16, 2012-195, 45067
F16, 2012-195, 45068
F16, 2012-195, 45072
F16, 2012-195, 45073
F16, 2012-195, 45074
F16, 2012-195, 45075
F16, 2012-195, 45076
F16, 2012-195, 45077
F16, 2012-195, 45078
F16, 2012-196, 45079
F16, 2012-196, 45080
F16, 2012-196, 45081
F16, 2012-196, 45082
F16, 2012-196, 45084
F16, 2012-196, 45085
F16, 2012-196, 45086
F16, 2012-196, 45087
F16, 2012-196, 45088
F16, 2012-196, 45089
F16, 2012-196, 45090
F16, 2012-196, 45091
F16, 2012-196, 45092
F16, 2012-197, 45101
F16, 2012-197, 45094
F16, 2012-197, 45095
F16, 2012-197, 45096
F16, 2012-197, 45097
F16, 2012-197, 45098
F16, 2012-197, 45100
F16, 2012-197, 45102
F16, 2012-197, 45103
F16, 2012-197, 45105
F16, 2012-197, 45106
F16, 2012-197, 45107
F16, 2012-198, 45108
F16, 2012-198, 45109
F16, 2012-198, 45111
F16, 2012-198, 45112
F16, 2012-198, 45114
F16, 2012-198, 45115
F16, 2012-198, 45116
F16, 2012-198, 45117
F16, 2012-199, 45122
F16, 2012-199, 45123
F16, 2012-199, 45125
F16, 2012-199, 45126
F16, 2012-199, 45128
F16, 2012-199, 45129
F16, 2012-199, 45130
F16, 2012-199, 45131
F16, 2012-199, 45132
F16, 2012-199, 45133
F16, 2012-199, 45134
F16, 2012-199, 45135
F16, 2012-200, 45137
F16, 2012-200, 45138
F16, 2012-200, 45139
F16, 2012-200, 45141
F16, 2012-200, 45142
F16, 2012-200, 45143
F16, 2012-200, 45144
F16, 2012-200, 45145
F16, 2012-200, 45146
F16, 2012-200, 45147
F16, 2012-200, 45148
F16, 2012-200, 45149
F16, 2012-201, 45150
